Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,22nF,
"C10, C11, C12, C9",0603,4,2.2uF,
"C13, C3, C4",0603,3,0.1uF,
C14,0603,1,4700pF,
C15,0603,1,47pF,
"C16, C17",0603,2,47uF,
C18,0603,1,47u,
C5,1210,1,47 uF,
"D1, D2",D_SMA,2,SMAJ33CA,
D3,D_SMC,1,B560C,
"J1, J2",RJ9_Evercom_5301-440xxx_Horizontal,2,4P4C,
J3,RPI_Hat_B+,1,RPi_GPIO,
J4,JST_1x04_P1.0mm_Horizontal_SMD,1,Qwiic_RA,
L1,L_10.4x10.4_H4.8,1,7.2uH,
"Q1, Q2",TO-252-2,2,AOD66406,
R1,0603,1,442k,
R2,0603,1,90.9k,
R3,0603,1,243k,
R4,0603,1,16.9k,
R5,0603,1,53.6k,
R6,0603,1,10.2k,
"U1, U2",TSOT-23-6,2,LM74700-Q1,
U3,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,TPS54560BDDA,
"U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,2,MAX3485,
