Designator,Mid X,Mid Y,Rotation,Layer
C1,142.35,-91.7,0.0,top
C10,159.4,-81.4,180.0,top
C11,159.4,-83.0,180.0,top
C12,159.4,-84.6,180.0,top
C13,156.6,-77.8,180.0,top
C14,160.8,-65.6,180.0,top
C15,160.8,-70.4,180.0,top
C16,138.0,-74.0,0.0,top
C17,138.0,-75.8,0.0,top
C18,138.0,-77.6,0.0,top
C2,122.6,-91.6,0.0,top
C3,142.35,-90.1,180.0,top
C4,122.677576,-90.041771,180.0,top
C5,143.7625,-80.0,90.0,top
C9,159.4,-79.8,180.0,top
D1,142.35,-94.3,180.0,top
D2,123.0,-94.2,180.0,top
D3,150.6,-74.8,270.0,top
J1,132.75,-98.1175,0.0,top
J2,113.3075,-98.2575,0.0,top
J3,134.835,-57.858,0.0,top
J4,108.475,-69.4,270.0,top
L1,141.4,-67.8,180.0,top
Q1,136.67,-85.06,90.0,top
Q2,117.1825,-85.21,90.0,top
R1,161.2,-86.4,0.0,top
R2,164.4,-86.4,0.0,top
R3,164.4,-77.6,90.0,top
R4,161.6,-68.0,90.0,top
R5,160.8,-61.6,0.0,top
R6,160.8,-63.6,180.0,top
U1,142.6,-87.6,0.0,top
U2,123.0475,-87.6,0.0,top
U3,160.9,-75.35,90.0,top
U4,145.4825,-101.435,90.0,top
U5,145.5575,-107.14,90.0,top
